iter	Passed	Remaining
153	138614	761478
154	139624	761180
155	140387	759533
156	141360	759027
157	142287	758265
158	143226	757567
159	144069	756364
160	144920	755208
161	145817	754292
162	146683	753217
163	147748	753155
164	148787	752956
165	149853	752879
166	150809	752243
167	151790	751724
168	152648	750598
169	153563	749748
170	154417	748607
171	155398	748081
172	156245	746909
173	157211	746304
174	158256	746066
175	159207	745380
176	160129	744555
177	161071	743822
178	162044	743232
179	162910	742147
180	163846	741385
181	164767	740550
182	165710	739813
183	166508	738429
184	167386	737403
185	168098	735656
186	168928	734434
187	169878	733731
188	170801	732910
189	171771	732289
190	172705	731511
191	173539	730311
192	174426	729338
193	175346	728502
194	176186	727334
195	177133	726608
196	177991	725517
197	178813	724283
198	179691	723279
199	180686	722746
200	181794	722657
201	182706	721781
202	183592	720805
203	184475	719816
204	185393	718963
205	186063	717158
206	186845	715788
207	187757	714924
208	188504	713429
209	189400	712505
210	190279	711518
211	191181	710616
212	192057	709621
213	192743	707928
214	193540	706648
215	194454	705799
216	195248	704514
217	196217	703864
218	197049	702719
219	197856	701492
220	198709	700429
221	199504	699165
222	200294	697887
223	201207	697041
224	201904	695448
225	202712	694245
226	203705	693676
227	204559	692632
228	205418	691604
229	206335	690774
230	207131	689542
231	208023	688628
232	208934	687779
233	209701	686459
234	210558	685436
235	211524	684765
236	212362	683683
237	213308	682944
238	214221	682104
239	215129	681244
240	216017	680321
241	216978	679625
242	217866	678702
243	218641	677430
244	219481	676361
245	220466	675739
246	221352	674810
247	222298	674067
248	223181	673130
249	224077	672231
250	224902	671123
251	225660	669818
252	226466	668657
253	227286	667541
254	228171	666618
255	228889	665211
256	229633	663882
257	230491	662886
258	231224	661533
259	232198	660871
260	233196	660277
261	234121	659470
262	235060	658707
263	235978	657880
264	236839	656895
265	237798	656182
266	238797	655574
267	239553	654302
268	240407	653300
269	241134	651957
270	241797	650444
271	242692	649560
272	243652	648847
273	244452	647711
274	245261	646598
275	246180	645778
276	246983	644653
277	247951	643959
278	248781	642909
279	249709	642109
280	250560	641112
281	251502	640350
282	252457	639618
283	253362	638757
284	254342	638088
285	255230	637183
286	256335	636819
287	257000	635362
288	257838	634337
289	258623	633181
290	259402	632014
291	260304	631149
292	261024	629844
293	262061	629303
294	262935	628371
295	263834	627499
296	264600	626310
297	265502	625445
298	266304	624345
299	267191	623447
300	267889	622107
301	268832	621341
302	269704	620409
303	270582	619491
304	271345	618312
305	272160	617254
306	272928	616089
307	273597	614706
308	274429	613691
309	275237	612625
310	276005	611472
311	276953	610718
312	277847	609843
313	278694	608867
314	279547	607905
315	280347	606828
316	281114	605682
317	281962	604711
318	282696	603498
319	283587	602623
320	284474	601739
321	285332	600793
322	286368	600221
323	287236	599295
324	288111	598385
325	288928	597354
326	289844	596530
327	290641	595460
328	291490	594499
329	292248	593353
330	293131	592461
331	293910	591361
332	294607	590099
333	295348	588927
334	296226	588031
335	296926	586783
336	297730	585742
337	298504	584644
338	299315	583621
339	299911	582180
340	300764	581243
341	301584	580241
342	302358	579152
343	303215	578225
344	304062	577278
345	304907	576327
346	305690	575262
347	306531	574306
348	307448	573492
349	308250	572464
350	309091	571510
351	309738	570199
352	310465	569040
353	311271	568027
354	312085	567028
355	312763	565785
356	313587	564808
357	314441	563886
358	315193	562783
359	316076	561913
360	316831	560818
361	317670	559872
362	318535	558972
363	319508	558261
364	320387	557386
365	321217	556425
366	322082	555527
367	322842	554447
368	323737	553599
369	324565	552638
370	325413	551712
371	326096	550507
372	326869	549455
373	327613	548358
374	328579	547632
375	329514	546854
376	330312	545848
377	331160	544925
378	331946	543902
379	332808	543003
380	333665	542096
381	334504	541162
382	335254	540083
383	336106	539171
384	336904	538172
385	337824	537367
386	338806	536662
387	339611	535675
388	340532	534872
389	341128	533559
390	341873	532482
391	342811	531707
392	343791	530996
393	344576	529982
394	345524	529220
395	346568	528603
396	347381	527635
397	348116	526548
398	348895	525530
399	349709	524564
400	350719	523893
401	351621	523058
402	352527	522230
403	353299	521204
404	354209	520381
405	354930	519283
406	355666	518206
407	356441	517189
408	357344	516358
409	358066	515266
410	358919	514363
411	359693	513348
412	360544	512445
413	361490	511675
414	362370	510810
415	363193	509868
416	364041	508960
417	364869	508024
418	365625	506989
419	366435	506029
420	367158	504951
421	367899	503900
422	368812	503085
423	369566	502051
424	370342	501051
425	371157	500103
426	371923	499092
427	372759	498173
428	373653	497333
429	374529	496469
430	375350	495532
431	376172	494597
432	376958	493614
433	377772	492670
434	378669	491834
435	379550	490977
436	380328	489987
437	381234	489164
438	382041	488212
439	383043	487509
440	383883	486600
441	384914	485933
442	385769	485042
443	386535	484040
444	387371	483126
445	388175	482172
446	388958	481194
447	389759	480239
448	390604	479339
449	391319	478279
450	392222	477450
451	393066	476549
452	393887	475621
453	394621	474588
454	395503	473735
455	396371	472864
456	397223	471974
457	398085	471096
458	398860	470116
459	399701	469214
460	400552	468325
461	401393	467424
462	402247	466538
463	403106	465657
464	403904	464707
465	404656	463704
466	405323	462607
467	406204	461753
468	406929	460723
469	407724	459774
470	408538	458846
471	409379	457949
472	410145	456970
473	410984	456071
474	411694	455030
475	412495	454092
476	413360	453223
477	414231	452361
478	414934	451316
479	415640	450276
480	416421	449320
481	417196	448356
482	417958	447380
483	418758	446444
484	419454	445400
485	420305	444520
486	421126	443609
487	421972	442725
488	422653	441668
489	423474	440758
490	424399	439957
491	425190	439017
492	426144	438245
493	427076	437451
494	427841	436485
495	428631	435544
496	429337	434521
497	430221	433677
498	431118	432846
499	431953	431953
500	432669	430942
501	433582	430127
502	434414	429232
503	435177	428269
504	436036	427401
505	436888	426527
506	437637	425552
507	438637	424822
508	439584	424038
509	440465	423192
510	441320	422320
511	442107	421383
512	443053	420598
513	443761	419587
514	444531	418636
515	445347	417729
516	446242	416896
517	447010	415944
518	447919	415123
519	448744	414225
520	449492	413257
521	450141	412198
522	450896	411238
523	451780	410395
524	452605	409500
525	453507	408673
526	454421	407858
527	455278	406991
528	456099	406092
529	456843	405125
530	457600	404170
531	458510	403351
532	459242	402375
533	459909	401344
534	460710	400430
535	461645	399633
536	462578	398834
537	463373	397915
538	464349	397152
539	465064	396166
540	465795	395194
541	466559	394251
542	467382	393358
543	468434	392658
544	469624	392071
545	470595	391300
546	471634	390585
547	472345	389598
548	473312	388823
549	474158	387947
550	474976	387049
551	476085	386388
552	476965	385539
553	477764	384625
554	478721	383839
555	479581	382975
556	480380	382062
557	481282	381230
558	482322	380508
559	483057	379544
560	483798	378587
561	484566	377651
562	485511	376853
563	486205	375860
564	486940	374900
565	487798	374036
566	488773	373260
567	489383	372207
568	490246	371346
569	491042	370435
570	491649	369382
571	492511	368522
572	493179	367517
573	493871	366531
574	494551	365537
575	495449	364705
576	496197	363763
577	497074	362915
578	498102	362177
579	498807	361205
580	499586	360286
581	500334	359346
582	501210	358498
583	501971	357568
584	502693	356611
585	503470	355693
586	504153	354710
587	505111	353921
588	505962	353056
589	506688	352105
590	507703	351354
