iter	MultiClass
216	1.351983479
217	1.351821961
218	1.351501337
219	1.350512348
220	1.35006442
221	1.349599178
222	1.348965927
223	1.348642582
224	1.347488572
225	1.347160992
226	1.346737919
227	1.345944322
228	1.345124503
229	1.344615496
230	1.343797825
231	1.343513956
232	1.343264594
233	1.342719554
234	1.342252863
235	1.341924306
236	1.341517405
237	1.341401009
238	1.341206781
239	1.340787314
240	1.340371296
241	1.340118829
242	1.339933755
243	1.339297881
244	1.338711864
245	1.338504831
246	1.338287436
247	1.337831461
248	1.337603321
249	1.337010581
250	1.336511093
251	1.335848476
252	1.335336487
253	1.334761432
254	1.334131379
255	1.333709642
256	1.333292598
257	1.332938844
258	1.332829527
259	1.332730263
260	1.332255816
261	1.331835915
262	1.331604126
263	1.33131342
264	1.33108575
265	1.330770333
266	1.330703721
267	1.330033685
268	1.329514333
269	1.329070033
270	1.327922896
271	1.327617748
272	1.327439899
273	1.327142519
274	1.326846328
275	1.326474431
276	1.326132138
277	1.325882525
278	1.325451997
279	1.325177474
280	1.32437162
281	1.324153783
282	1.32394908
283	1.323640672
284	1.323508888
285	1.323184707
286	1.322816542
287	1.321859596
288	1.321595594
289	1.320733057
290	1.320111207
291	1.319648981
292	1.318716222
293	1.318622943
294	1.318374554
295	1.317855401
296	1.317446269
297	1.317325213
298	1.31687853
299	1.316691348
300	1.31616737
301	1.316005282
302	1.315547645
303	1.314999313
304	1.314539912
305	1.314372656
306	1.31403549
307	1.312616455
308	1.312382179
309	1.311844612
310	1.311294145
311	1.311070937
312	1.3106335
313	1.310273649
314	1.309846531
315	1.309592798
316	1.309026485
317	1.308763608
318	1.308172439
319	1.307793681
320	1.30749843
321	1.307450053
322	1.307253866
323	1.306668452
324	1.306328459
325	1.306027217
326	1.305785609
327	1.305161777
328	1.304821256
329	1.304346542
330	1.304019484
331	1.303457561
332	1.303062416
333	1.302676678
334	1.302200786
335	1.301456009
336	1.30118672
337	1.30085877
338	1.300304524
339	1.299438622
340	1.29905386
341	1.29878005
342	1.298495907
343	1.298259385
344	1.297949475
345	1.297173177
346	1.296433044
347	1.295820861
348	1.295457061
349	1.294938804
350	1.294580043
351	1.293704435
352	1.292959597
353	1.292797891
354	1.292413773
355	1.29168238
356	1.291401543
357	1.291189703
358	1.290806658
359	1.290535057
360	1.289841311
361	1.289497331
362	1.289152813
363	1.288955725
364	1.288860737
365	1.288659159
366	1.288286747
367	1.287613478
368	1.287285441
369	1.286671546
370	1.286347993
371	1.285908261
372	1.285281014
373	1.284860082
374	1.284597146
375	1.284376612
376	1.284049949
377	1.283568132
378	1.283202626
379	1.282981057
380	1.282784511
381	1.282427722
382	1.281902918
383	1.281490466
384	1.281303075
385	1.281096186
386	1.280804381
387	1.280543164
388	1.280153576
389	1.279715005
390	1.279510751
391	1.279414344
392	1.27929045
393	1.27893553
394	1.278640008
395	1.278449932
396	1.278019514
397	1.277276825
398	1.276685656
399	1.276441099
400	1.276248471
401	1.275612553
402	1.275271497
403	1.27489673
404	1.27470598
405	1.274254771
406	1.273836359
407	1.273116832
408	1.27290358
409	1.27262424
410	1.272420308
411	1.271971131
412	1.271718271
413	1.271557416
414	1.27138478
415	1.271128511
416	1.270717468
417	1.270394578
418	1.270136475
419	1.269938222
420	1.269618889
421	1.269119396
422	1.269005144
423	1.268628262
424	1.26834874
425	1.267980723
426	1.267393068
427	1.267200836
428	1.266937599
429	1.266740183
430	1.266372578
431	1.266082924
432	1.265728176
433	1.26554668
434	1.265195485
435	1.264909337
436	1.26443322
437	1.264174217
438	1.263518964
439	1.263332802
440	1.262996301
441	1.262709419
442	1.262605496
443	1.262470159
444	1.26211948
445	1.261370361
446	1.260947562
447	1.260671972
448	1.260012148
449	1.259713619
450	1.259520002
451	1.258800517
452	1.258418806
453	1.258137931
454	1.257895902
455	1.257499066
456	1.257310489
457	1.257102487
458	1.256749111
459	1.25641089
460	1.256061447
461	1.255823828
462	1.255546067
463	1.255123271
464	1.254673096
465	1.25406514
466	1.253726221
467	1.253526462
468	1.252901142
469	1.252672266
470	1.252323755
471	1.252133152
472	1.251977806
473	1.251573903
474	1.25115697
475	1.250803466
476	1.250339505
477	1.250033249
478	1.249740153
479	1.24940437
480	1.248927314
481	1.248569024
482	1.248317971
483	1.24774631
484	1.247406711
485	1.247304112
486	1.24685597
487	1.24630041
488	1.245890229
489	1.24572291
490	1.245606014
491	1.245086827
492	1.2446709
493	1.244300912
494	1.244081736
495	1.243694875
496	1.243131499
497	1.242849422
498	1.242692415
499	1.242480365
500	1.242216475
501	1.241938644
502	1.241775362
503	1.241380414
504	1.241051882
505	1.240713568
506	1.240490255
507	1.240380704
508	1.240237135
509	1.24003559
510	1.239852473
511	1.239446142
512	1.239271396
513	1.238925501
514	1.238662492
515	1.238186369
516	1.238015439
517	1.237723452
518	1.237391074
519	1.237153713
520	1.236881972
521	1.236416615
522	1.236024464
523	1.235808669
524	1.235439031
525	1.234858103
526	1.234760065
527	1.2345042
528	1.23423198
529	1.233846044
530	1.23315857
531	1.232577586
532	1.232058014
533	1.231538735
534	1.231203816
535	1.231081679
536	1.230909068
537	1.230716611
538	1.230558621
539	1.230235143
540	1.229909221
541	1.22954177
542	1.229181941
543	1.228864781
544	1.228414558
545	1.228164303
546	1.227937262
547	1.227471437
548	1.227177672
549	1.226859935
550	1.226385008
551	1.225894729
552	1.225706752
553	1.225205018
554	1.224948294
555	1.224614072
556	1.22439136
557	1.224023117
558	1.223816626
559	1.223492168
560	1.223181465
561	1.223067302
562	1.222874159
563	1.222409016
564	1.222081217
565	1.221728459
566	1.221597855
567	1.22128018
568	1.221138375
569	1.220834532
570	1.220440948
571	1.219970894
572	1.219552489
573	1.219134315
574	1.218756198
575	1.218505382
576	1.218176593
577	1.217875988
578	1.21778867
579	1.217306497
580	1.216874585
581	1.216587212
582	1.216357058
583	1.215821713
584	1.215443738
585	1.215151934
586	1.214870795
587	1.214648044
588	1.21422889
589	1.214026875
590	1.213741847
